,LPS,NACE (DELETE!),GNFR,E-PRTR/PRTR Facility ID,Height class (TODO),Longitude,Latitude,NOx (as NO2) [kt],NMVOC [kt],SOx (as SO2) [kt],NH3 [kt],PM2.5 [kt],PM10 [kt],CO [kt],Pb [t],Cd [t],Hg [t],PCDD/ PCDF (dioxins/ furans) [g I-Teq],PAHs [t],HCB [kg],PCBs [kg]
1112,Schweinezucht- und Mastanlage Tornitz,146: Raising of swine/pigs,,12-40660080000,,14.0911301089295,51.7534446852538,,,,0.24,,,,,,,,,,
1113,Schweinezucht-/ mastanlage / BGA Klein Laasch Schweinezucht Klein Laasch GmbH,146: Raising of swine/pigs,,13-40-1354255,,11.5722572091075,53.3534531095902,,,,0.0242,,,,,,,,,,
1114,Schweinezucht-/-mastanlage Woeten,146: Raising of swine/pigs,,13-40-4125,,11.8903242246257,53.5317104018464,,,,0.0362,,,,,,,,,,
1115,Schweinezuchtanlage / BGA Fahrbinde,146: Raising of swine/pigs,,13-40-1354196,,11.4957865401439,53.4451598024684,,,,0.0346,,,,,,,,,,
1116,Schweinezuchtanlage Blumberg GmbH,146: Raising of swine/pigs,,12-20735670000,,14.1728509957049,53.2100175996415,,,,0.0103,,,,,,,,,,
1117,Schweinezuchtanlage Garlitz,146: Raising of swine/pigs,,13-40-1354045,,11.0267201033886,53.3367747848788,,,,0.014,,,,,,,,,,
1118,Schweinezuchtanlage Grießen,146: Raising of swine/pigs,,12-40714070000,,14.5872991630156,51.8510743639386,,,,0.016,,,,,,,,,,
1119,Schweinezuchtanlage Gröden,146: Raising of swine/pigs,,12-40620370000,,13.5863710562971,51.4029128727261,,,,0.0301,,,,,,,,,,
1120,Schweinezuchtanlage Karft,146: Raising of swine/pigs,,13-40-1354031,,11.0530170568757,53.5320661731436,,,,0.0113,,,,,,,,,,
1121,Schweinezuchtanlage Kölsa,146: Raising of swine/pigs,,12-40626030000,,13.2164300604772,51.566758226186,,,,0.0149,,,,,,,,,,
1122,Schweinezuchtanlage Langenbernsdorf,146: Raising of swine/pigs,,14-64-65684740000,,12.307776804305,50.7440015221006,,,,0.021,,,,,,,,,,
1123,Schweinezuchtanlage Löbichau,146: Raising of swine/pigs,,16-76-42320970000,,12.2599658032805,50.8842524345844,,,,0.0103,,,,,,,,,,
1124,Schweinezuchtanlage Rippershausen,146: Raising of swine/pigs,,16-87-41200080000,,10.3621817680258,50.6154105295629,,,,0.03,,,,,,,,,,
1125,Schweinezuchtanlage Rüdigershagen,146: Raising of swine/pigs,,16-77-75287290001,,10.4487070630181,51.3514247603249,,,,0.0239,,,,,,,,,,
1126,Schwering & Hasse Elektrodraht GmbH,"2593: Manufacture of wire products, chain and springs",E_Solvents,06-05-700-0068548,,9.24604252136137,51.9626352505853,,,0.149,,,,,,,,,,,
1127,"Schüer, Karl",146: Raising of swine/pigs,,06-05-558-0257510,,7.18185878171795,52.0367779747793,,,,0.0145,,,,,,,,,,
1128,Seifersbacher Marktfrucht GmbH,146: Raising of swine/pigs,,14-65-00050710000,,13.0487494486201,50.9734959321655,,,,0.0126,,,,,,,,,,
1129,"Sengenhorst, Peter",146: Raising of swine/pigs,,06-05-570-0408941,,7.88607608436326,51.8615671752344,,,,0.0141,,,,,,,,,,
1130,Shell Deutschland Oil GmbH Rheinland Raffinerie Werk Nord,1920: Manufacture of refined petroleum products,B_Industry,06-05-300-0213768,,6.97684553644303,50.8549933741484,7.28,2.058,,,,,,,,,,,,
1131,"Shell Deutschland Oil GmbH Rheinland Raffinerie, Werk Süd",1920: Manufacture of refined petroleum products,B_Industry,06-05-300-0215443,,7.00575627868132,50.8141104234868,8.209999999999999,4.54,2.93,,,,,,,,,,,
1132,"Siedlungsabfalldeponie ""Alte Scheune""",3821: Treatment and disposal of non-hazardous waste,5.d,06-05-900-9001960,,7.91316458253651,51.0718520701079,,,,,,,,,,,,,,
1133,Siedlungsabfalldeponie Cantdorf,3821: Treatment and disposal of non-hazardous waste,5.d,12-40710004028,,14.3559608417373,51.5902073817959,,,,,,,,,,,,,,
1134,Siedlungsabfalldeponie Horm,3821: Treatment and disposal of non-hazardous waste,5.d,06-05-300-9011404,,6.44069382949134,50.7484174686853,,,,,,,,,,,,,,
1135,Siegfried PharmaChemikalien Minden GmbH - ehem BASF Werk Minden-,2110: Manufacture of basic pharmaceutical products,B_Industry,06-05-700-0067847,,8.94110855168995,52.2983227925502,,,,,,,,,,,,,,
1136,Silbitz Guss GmbH,2451: Casting of iron,B_Industry,16-84-73731190000,,11.9885363172162,50.9573500068143,,,,,,0.681,,,,,,,,
1137,"Skassaer Landschweinehof SMA Skassa Medessener Str., GF Herr Hermann",146: Raising of swine/pigs,,14-72-63763963549,,13.4754515022046,51.2761374465569,,,,0.0184,,,,,,,,,,
